price,bedrooms,bathrooms,toilets,furnished,serviced,shared,parking,category,type,sub_type,state,locality,list_year,list_month
55000.0,1,1,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Parklands,2021,7
65000.0,3,3,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Lavington,2021,7
85000.0,3,2,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Parklands,2021,7
75000.0,2,2,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021,7
90000.0,3,3,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Kileleshwa,2021,7
300000.0,4,3,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Westlands,2021,7
175000.0,3,3,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Parklands,2021,7
220000.0,4,4,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Lavington,2021,7
85000.0,3,3,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Kileleshwa,2021,7
90000.0,3,3,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Kileleshwa,2021,7
